snapshot_date,code,industry,current_vs_ibd_candidate_pct,rv_20,w1_return_pct,w2_return_pct,w4_return_pct,w3_return_pct,w1_stop8,w2_stop8,w4_stop8,w3_stop8,score,universe,feature_mode,model_type,target_horizon,model_id,segment,fold,model_pick_order,selector_id,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type,b0_eligible,is_valid_entry,entry_status,entry_date,entry_open,stop_8_hit_ever,gap_stop,profit20_hit,max_drawdown_to_asof_pct,px_vs_ma10,px_vs_ma20,px_vs_ma50,ma10_slope_5,ma20_slope_5,ma50_slope_10,mom_5,mom_10,mom_20,mom_60,atr_14_pct,vol_ratio_5_20,up_day_ratio_20,drawdown_20,rel_spy_20,rel_spy_60,trigger_pos,eps_known,is_actionable,rule_ceiling,rule_pivot,rule_ma10_touch_confirm,rule_ceiling_pullback,rule_three_weeks_tight,pick_order,is_b0,period,agent_factor_vol_confirmed_mom_20,agent_factor_prox_52w_high,agent_factor_risk_adj_mom_10,agent_factor_risk_adj_mom_20,agent_factor_risk_adj_mom_60
2026-06-12,FBP,Regional Banks,4.34,0.011539073948703018,-1.5625,2.9687,4.2187,2.8516,False,False,False,False,5.2096359005691015,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,CW,Aerospace & Defense,0.46,0.019023930258484614,-4.2857,-2.6257,-9.3361,-3.3264,False,False,True,False,4.90363746208544,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,AEIS,Electronic Production Equipment,4.37,0.04612915409961749,-8.3417,-18.0425,-25.2094,-18.8906,True,True,True,True,3.4509042372678764,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,GEV,Electrical Products,1.8,0.03453498122089054,-7.5104,-1.4982,-6.3892,-3.4043,True,True,True,True,3.3265163097415797,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26,WSR,Unknown,0.16,,,,,,,,,,11.787097859424877,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26,MPC,Oil Refining/Marketing,0.87,0.021132511426987906,3.7943,10.574,20.5111,21.8202,False,False,False,False,5.718734203805057,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26,NTCT,Packaged Software,0.02,0.0208089136303394,-1.5869,5.0252,-3.823,-0.6973,False,False,False,False,5.582444047874324,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,LYV,Movies/Entertainment,3.13,0.015268566443155643,-3.3491,-3.1179,-6.3918,-4.7199,False,False,True,False,5.089536432026989,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,PACS,Hospital/Nursing Management,4.36,0.03255850223025786,-2.5259,4.037,3.7664,5.6608,False,False,False,False,2.867700442763143,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,FLYW,Miscellaneous Commercial Services,3.88,0.02729647464722696,-5.9765,-3.2551,-14.5678,-15.2081,False,False,True,True,2.7042359682698405,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,AFBI,Unknown,0.22,,0.1762,1.3216,,1.3216,False,False,,False,10.266339138904387,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,PNTG,Medical/Nursing Services,2.74,0.01718083544639882,3.1727,1.2297,-4.0826,-0.8362,False,False,True,False,4.522979943059161,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,DNTH,Biotechnology,1.14,0.03450252811078583,9.6232,7.8273,13.0697,10.9935,False,False,False,False,2.1212680067879925,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17,IRM,Real Estate Investment Trusts,0.63,0.020524162649320613,3.7603,-1.0836,4.666,-2.0298,False,False,False,False,6.0202066694267415,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17,SNDR,Trucking,1.87,0.018556957312124374,-0.1328,-5.0982,-4.1423,-5.3903,False,True,True,True,4.184656504793568,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17,ASB,Major Banks,0.9,0.014206440806323247,-1.7538,-1.5306,3.0931,-0.2551,False,False,False,False,3.9940722867671727,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,ALOT,Computer Peripherals,0.1,0.002098744362545816,0.3466,0.312,0.2426,0.208,False,False,False,False,40.946828717593434,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,WRLD,Finance/Rental/Leasing,1.2,0.041022592480006094,-12.1464,-8.5699,-8.0129,-4.8468,True,True,True,True,8.683757363259616,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,IMAX,Electronics/Appliances,0.51,0.036479727152712506,9.4486,10.9357,20.6589,20.9792,False,False,False,False,4.396974524576238,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,TOWN,Regional Banks,1.94,0.013338651748199105,-1.7056,-0.761,,-0.9446,False,False,,False,4.13519187866934,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,RCKY,Apparel/Footwear,1.08,0.036309083729108876,-0.5455,-3.9798,,-5.4747,False,False,,True,3.459050758608767,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,BIP,Alternative Power Generation,0.26,0.012925434568747611,-7.0255,-5.3584,,-7.2398,False,True,,True,2.762437488548275,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,CFFI,Regional Banks,1.76,0.02076401547611641,2.4218,-1.5759,,,False,False,,,18.680378743432513,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,TWLO,Packaged Software,1.17,0.06188582027185329,-2.5767,-7.8528,,,False,True,,,9.879822004942074,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,HBB,Electronics/Appliances,3.56,0.05342815504934738,3.2198,1.8576,,,False,False,,,7.880045259607969,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_distinct_industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,ILMN,Medical Specialties,4.02,0.02372139326202049,0.9139,0.0746,9.7606,0.6714,False,False,False,False,5.793436871884429,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,HLT,Hotels/Resorts/Cruise lines,0.6,0.01700866168700722,6.0716,6.9531,2.9074,7.847,False,False,False,False,5.148976759662503,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,CENX,Unknown,0.92,0.038680373623512114,-9.8786,-8.2746,-30.5501,-22.4854,True,True,True,True,4.263216874881899,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05,AVNS,Unknown,0.97,,,,,,,,,,9.448566775793045,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05,PRA,Unknown,2.15,,,,,,,,,,6.216351930213083,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05,SPHR,Media Conglomerates,0.58,0.031123152671891696,7.7783,10.6477,15.1909,19.4528,False,False,False,False,4.3269240510192795,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,FAC,Unknown,0.2,0.12395313441465414,-11.0908,-30.4083,-43.2054,-37.599,True,True,True,True,7.682309646082401,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,SLAB,Semiconductors,0.48,0.003202008011756949,0.0,-0.6052,-0.5097,-0.6962,False,False,False,False,5.6963386984979145,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,FBP,Regional Banks,4.34,0.011539073948703018,-1.5625,2.9687,4.2187,2.8516,False,False,False,False,5.2096359005691015,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,CW,Aerospace & Defense,0.46,0.019023930258484614,-4.2857,-2.6257,-9.3361,-3.3264,False,False,True,False,4.90363746208544,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,AEIS,Electronic Production Equipment,4.37,0.04612915409961749,-8.3417,-18.0425,-25.2094,-18.8906,True,True,True,True,3.4509042372678764,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,GEV,Electrical Products,1.8,0.03453498122089054,-7.5104,-1.4982,-6.3892,-3.4043,True,True,True,True,3.3265163097415797,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26,WSR,Unknown,0.16,,,,,,,,,,11.787097859424877,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26,STEL,Unknown,1.53,,0.1783,,,,False,,,,7.52893023089386,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-26,MPC,Oil Refining/Marketing,0.87,0.021132511426987906,3.7943,10.574,20.5111,21.8202,False,False,False,False,5.718734203805057,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,LYV,Movies/Entertainment,3.13,0.015268566443155643,-3.3491,-3.1179,-6.3918,-4.7199,False,False,True,False,5.089536432026989,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,PACS,Hospital/Nursing Management,4.36,0.03255850223025786,-2.5259,4.037,3.7664,5.6608,False,False,False,False,2.867700442763143,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,FLYW,Miscellaneous Commercial Services,3.88,0.02729647464722696,-5.9765,-3.2551,-14.5678,-15.2081,False,False,True,True,2.7042359682698405,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,AFBI,Unknown,0.22,,0.1762,1.3216,,1.3216,False,False,,False,10.266339138904387,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,PNTG,Medical/Nursing Services,2.74,0.01718083544639882,3.1727,1.2297,-4.0826,-0.8362,False,False,True,False,4.522979943059161,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-10,DNTH,Biotechnology,1.14,0.03450252811078583,9.6232,7.8273,13.0697,10.9935,False,False,False,False,2.1212680067879925,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17,IRM,Real Estate Investment Trusts,0.63,0.020524162649320613,3.7603,-1.0836,4.666,-2.0298,False,False,False,False,6.0202066694267415,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17,SNDR,Trucking,1.87,0.018556957312124374,-0.1328,-5.0982,-4.1423,-5.3903,False,True,True,True,4.184656504793568,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17,ASB,Major Banks,0.9,0.014206440806323247,-1.7538,-1.5306,3.0931,-0.2551,False,False,False,False,3.9940722867671727,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,ALOT,Computer Peripherals,0.1,0.002098744362545816,0.3466,0.312,0.2426,0.208,False,False,False,False,40.946828717593434,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,WRLD,Finance/Rental/Leasing,1.2,0.041022592480006094,-12.1464,-8.5699,-8.0129,-4.8468,True,True,True,True,8.683757363259616,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,ACNB,Regional Banks,2.0,0.018781857733275543,3.6989,3.5381,3.6507,4.4226,False,False,False,False,4.340359361382212,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,TOWN,Regional Banks,1.94,0.013338651748199105,-1.7056,-0.761,,-0.9446,False,False,,False,4.13519187866934,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,RCKY,Apparel/Footwear,1.08,0.036309083729108876,-0.5455,-3.9798,,-5.4747,False,False,,True,3.459050758608767,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,BIP,Alternative Power Generation,0.26,0.012925434568747611,-7.0255,-5.3584,,-7.2398,False,True,,True,2.762437488548275,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,CFFI,Regional Banks,1.76,0.02076401547611641,2.4218,-1.5759,,,False,False,,,18.680378743432513,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,1.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,TWLO,Packaged Software,1.17,0.06188582027185329,-2.5767,-7.8528,,,False,True,,,9.879822004942074,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,2.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,HBB,Electronics/Appliances,3.56,0.05342815504934738,3.2198,1.8576,,,False,False,,,7.880045259607969,actionable,agent,elastic,W1,actionable_agent_elastic_w1,contaminated_validation,-1.0,3.0,actionable_agent_elastic_w1_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13,MAS,Building Products,0.38,0.027962259651261978,-1.0102,-5.6626,-18.9685,-16.1505,False,False,True,True,0.21380794590246446,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,1.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
